## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/workspace/jogrady/eqtl_study/eqtl_nextflow/results/reviewer/RNA_seq/variant_call/rg_added_T030-STARAligned.sortedByCoord.out.bam] OUTPUT=/home/workspace/jogrady/eqtl_study/eqtl_nextflow/results/reviewer/RNA_seq/variant_call/dedupped_T030-STARAligned.sortedByCoord.out.bam METRICS_FILE=marked_dup_metrics.txt VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 26 20:24:20 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	38307118	2894486	0	0	10947689	710430	0.285787	55835181

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.013159	21136021	0	21537346
2.0	1.523334	4501121	648944	4263876
3.0	1.780232	1031830	25664	922517
4.0	1.909592	305620	2131	272263
5.0	1.974732	125470	420	115022
6.0	2.007532	66642	150	62827
7.0	2.024049	41829	62	39916
8.0	2.032366	28817	34	27650
9.0	2.036554	20789	17	20073
10.0	2.038663	15602	10	15024
11.0	2.039725	12030	12	11714
12.0	2.04026	9724	2	9399
13.0	2.040529	7921	6	7600
14.0	2.040665	6254	2	6097
15.0	2.040733	5358	2	5163
16.0	2.040767	4410	0	4271
17.0	2.040785	3848	2	3702
18.0	2.040793	3342	1	3300
19.0	2.040798	2937	2	2757
20.0	2.0408	2470	1	2431
21.0	2.040801	2210	0	2130
22.0	2.040802	1908	1	1853
23.0	2.040802	1734	1	1659
24.0	2.040802	1505	0	1473
25.0	2.040802	1381	1	1330
26.0	2.040802	1225	0	1156
27.0	2.040802	1091	0	1086
28.0	2.040802	1037	1	991
29.0	2.040802	920	0	872
30.0	2.040802	763	0	786
31.0	2.040802	826	0	771
32.0	2.040802	737	0	722
33.0	2.040802	644	0	616
34.0	2.040802	574	1	574
35.0	2.040802	612	0	619
36.0	2.040802	495	0	477
37.0	2.040802	508	0	480
38.0	2.040802	483	0	444
39.0	2.040802	402	0	390
40.0	2.040802	352	0	379
41.0	2.040802	377	0	370
42.0	2.040802	376	0	321
43.0	2.040802	317	0	289
44.0	2.040802	301	0	289
45.0	2.040802	259	0	270
46.0	2.040802	277	0	269
47.0	2.040802	244	0	235
48.0	2.040802	252	0	248
49.0	2.040802	216	0	225
50.0	2.040802	225	0	200
51.0	2.040802	216	0	203
52.0	2.040802	184	0	182
53.0	2.040802	171	0	190
54.0	2.040802	195	0	167
55.0	2.040802	161	0	136
56.0	2.040802	140	0	148
57.0	2.040802	129	0	126
58.0	2.040802	132	0	128
59.0	2.040802	127	0	130
60.0	2.040802	117	0	114
61.0	2.040802	116	0	110
62.0	2.040802	110	0	99
63.0	2.040802	107	0	103
64.0	2.040802	113	0	109
65.0	2.040802	90	0	97
66.0	2.040802	109	0	97
67.0	2.040802	87	0	76
68.0	2.040802	77	0	69
69.0	2.040802	83	0	77
70.0	2.040802	66	0	70
71.0	2.040802	74	0	83
72.0	2.040802	69	0	72
73.0	2.040802	87	0	72
74.0	2.040802	66	0	67
75.0	2.040802	56	0	60
76.0	2.040802	60	0	56
77.0	2.040802	45	0	51
78.0	2.040802	70	0	54
79.0	2.040802	55	0	63
80.0	2.040802	58	0	51
81.0	2.040802	51	0	40
82.0	2.040802	42	0	61
83.0	2.040802	59	0	40
84.0	2.040802	39	0	54
85.0	2.040802	39	0	33
86.0	2.040802	51	0	39
87.0	2.040802	40	0	47
88.0	2.040802	39	0	40
89.0	2.040802	46	0	30
90.0	2.040802	34	0	35
91.0	2.040802	30	0	30
92.0	2.040802	33	0	33
93.0	2.040802	32	0	23
94.0	2.040802	27	0	36
95.0	2.040802	33	0	29
96.0	2.040802	28	0	39
97.0	2.040802	38	0	30
98.0	2.040802	28	0	21
99.0	2.040802	29	0	42
100.0	2.040802	29	0	25
101.0	0	37	0	39
102.0	0	33	0	25
103.0	0	29	0	22
104.0	0	16	0	24
105.0	0	23	0	30
106.0	0	36	0	26
107.0	0	28	0	21
108.0	0	27	0	16
109.0	0	15	0	14
110.0	0	18	0	16
111.0	0	16	0	27
112.0	0	20	0	18
113.0	0	18	0	9
114.0	0	11	0	19
115.0	0	20	0	16
116.0	0	11	0	22
117.0	0	25	0	21
118.0	0	14	0	17
119.0	0	16	0	13
120.0	0	14	0	16
121.0	0	21	0	15
122.0	0	16	0	18
123.0	0	14	0	20
124.0	0	14	0	12
125.0	0	16	0	18
126.0	0	24	0	9
127.0	0	13	0	20
128.0	0	8	0	4
129.0	0	18	0	11
130.0	0	7	0	13
131.0	0	14	0	18
132.0	0	13	0	8
133.0	0	13	0	11
134.0	0	11	0	11
135.0	0	9	0	9
136.0	0	8	0	13
137.0	0	10	0	7
138.0	0	10	0	8
139.0	0	18	0	5
140.0	0	7	0	12
141.0	0	4	0	7
142.0	0	6	0	5
143.0	0	6	0	11
144.0	0	6	0	8
145.0	0	9	0	4
146.0	0	16	0	10
147.0	0	6	0	9
148.0	0	4	0	3
149.0	0	8	0	2
150.0	0	4	0	1
151.0	0	6	0	10
152.0	0	2	0	3
153.0	0	6	0	7
154.0	0	4	0	5
155.0	0	8	0	10
156.0	0	5	0	10
157.0	0	6	0	8
158.0	0	9	0	6
159.0	0	8	0	8
160.0	0	9	0	3
161.0	0	6	0	8
162.0	0	2	0	7
163.0	0	11	0	7
